job_title,location,industry,skills,experience,salary_lpa,posted_date
Data Scientist,Chennai,IT,"python, sql, statistics",0,11,2024-10-03
Cloud Engineer,Delhi,FinTech,"linux, docker, azure",8,21,2023-08-14
Software Engineer,Bangalore,IT,"java, sql, oops",4,16,2024-09-01
Business Analyst,Delhi,EdTech,"excel, communication, sql",5,24,2024-04-16
ML Engineer,Chennai,IT,"tensorflow, deep learning, ml",0,4,2023-03-24
Web Developer,Chennai,E-Commerce,"css, javascript, react",0,17,2024-10-25
ML Engineer,Chennai,HealthTech,"deep learning, tensorflow, python",8,25,2023-07-25
Software Engineer,Chennai,HealthTech,"python, oops, java",3,13,2023-09-12
DevOps Engineer,Pune,IT,"docker, kubernetes, aws",5,19,2024-01-01
Data Analyst,Hyderabad,E-Commerce,"excel, power bi, sql",4,24,2023-11-24
Cyber Security Analyst,Delhi,IT,"linux, networking, security",2,16,2024-04-06
Data Scientist,Delhi,EdTech,"statistics, ml, python",2,5,2023-03-18
Cloud Engineer,Chennai,E-Commerce,"docker, linux, aws",8,8,2024-05-18
ML Engineer,Hyderabad,HealthTech,"tensorflow, python, ml",1,23,2023-03-26
Data Analyst,Chennai,FinTech,"sql, python, excel",4,16,2023-07-16
Web Developer,Bangalore,HealthTech,"javascript, css, react",5,10,2023-02-12
Data Scientist,Pune,HealthTech,"statistics, sql, python",2,11,2023-12-18
Cloud Engineer,Delhi,E-Commerce,"linux, docker, aws",2,18,2024-07-08
DevOps Engineer,Pune,EdTech,"kubernetes, docker, aws",0,13,2024-10-20
Web Developer,Hyderabad,FinTech,"react, css, html",0,21,2023-03-05
Cloud Engineer,Hyderabad,EdTech,"docker, azure, linux",6,6,2023-11-26
Web Developer,Hyderabad,FinTech,"react, javascript, html",2,21,2023-10-10
DevOps Engineer,Delhi,FinTech,"linux, aws, kubernetes",4,22,2023-10-23
ML Engineer,Bangalore,HealthTech,"deep learning, tensorflow, ml",0,23,2024-10-27
DevOps Engineer,Bangalore,EdTech,"kubernetes, docker, linux",8,6,2023-12-06
Data Analyst,Pune,HealthTech,"excel, sql, power bi",0,12,2023-11-22
Business Analyst,Hyderabad,HealthTech,"excel, sql, communication",0,13,2024-12-01
Software Engineer,Chennai,E-Commerce,"java, sql, python",6,10,2023-12-08
AI Engineer,Mumbai,E-Commerce,"ai, python, ml",6,14,2023-06-27
DevOps Engineer,Mumbai,HealthTech,"aws, docker, linux",2,25,2023-04-11
DevOps Engineer,Hyderabad,HealthTech,"docker, linux, aws",6,13,2023-07-09
Cloud Engineer,Chennai,FinTech,"docker, aws, linux",3,8,2023-02-28
DevOps Engineer,Chennai,HealthTech,"kubernetes, aws, docker",8,3,2024-09-07
Business Analyst,Chennai,E-Commerce,"communication, sql, excel",5,11,2023-04-28
Web Developer,Mumbai,IT,"javascript, html, react",2,11,2023-07-03
Web Developer,Pune,E-Commerce,"react, html, css",4,8,2024-09-21
AI Engineer,Bangalore,FinTech,"ai, nlp, python",0,18,2023-04-21
AI Engineer,Bangalore,IT,"ai, ml, python",3,19,2024-08-16
Business Analyst,Chennai,IT,"excel, communication, sql",4,9,2024-07-27
AI Engineer,Mumbai,IT,"ml, nlp, python",0,9,2024-04-25
Data Analyst,Mumbai,E-Commerce,"excel, sql, power bi",5,21,2024-05-29
AI Engineer,Chennai,HealthTech,"ai, ml, python",8,25,2023-11-14
ML Engineer,Chennai,FinTech,"deep learning, tensorflow, python",1,20,2024-02-12
Cyber Security Analyst,Pune,FinTech,"security, linux, networking",3,21,2023-06-16
Cloud Engineer,Chennai,EdTech,"aws, linux, azure",1,21,2024-06-27
Data Analyst,Chennai,E-Commerce,"excel, python, sql",6,15,2024-02-28
Data Analyst,Bangalore,IT,"excel, python, power bi",8,8,2024-11-30
Data Scientist,Chennai,FinTech,"sql, ml, statistics",0,17,2023-07-17
Data Scientist,Pune,E-Commerce,"statistics, ml, python",4,21,2024-07-04
DevOps Engineer,Mumbai,E-Commerce,"docker, aws, kubernetes",8,19,2023-04-01
AI Engineer,Chennai,E-Commerce,"python, ml, ai",2,21,2023-07-10
Cloud Engineer,Pune,EdTech,"azure, docker, aws",0,23,2023-05-29
DevOps Engineer,Pune,EdTech,"linux, aws, kubernetes",4,19,2024-05-22
AI Engineer,Delhi,HealthTech,"python, ml, nlp",1,9,2024-02-21
Cyber Security Analyst,Hyderabad,HealthTech,"networking, linux, security",8,20,2023-08-20
Data Analyst,Bangalore,EdTech,"power bi, excel, sql",5,9,2023-03-16
Data Analyst,Delhi,E-Commerce,"excel, power bi, python",3,9,2023-03-13
ML Engineer,Mumbai,E-Commerce,"ml, python, deep learning",8,17,2023-11-16
Data Analyst,Pune,E-Commerce,"power bi, python, sql",8,11,2024-10-15
ML Engineer,Pune,EdTech,"ml, python, tensorflow",1,6,2023-08-07
AI Engineer,Bangalore,FinTech,"ai, python, nlp",7,7,2023-03-27
Data Scientist,Bangalore,FinTech,"statistics, sql, ml",6,11,2024-12-25
Data Scientist,Hyderabad,E-Commerce,"ml, statistics, python",3,21,2024-02-17
DevOps Engineer,Chennai,IT,"aws, kubernetes, linux",4,12,2024-12-04
Data Scientist,Mumbai,IT,"statistics, python, ml",8,5,2024-12-03
Data Scientist,Mumbai,FinTech,"statistics, sql, python",4,5,2023-03-26
Software Engineer,Hyderabad,EdTech,"python, java, oops",8,8,2024-10-05
Web Developer,Bangalore,EdTech,"react, css, html",0,9,2023-08-12
Web Developer,Delhi,HealthTech,"javascript, html, react",6,3,2024-01-04
Web Developer,Bangalore,FinTech,"css, react, javascript",2,25,2024-10-03
Data Analyst,Mumbai,EdTech,"python, excel, sql",0,23,2024-07-30
Cyber Security Analyst,Pune,IT,"linux, security, networking",4,21,2023-03-11
DevOps Engineer,Pune,IT,"kubernetes, linux, aws",1,9,2024-11-29
ML Engineer,Bangalore,E-Commerce,"deep learning, tensorflow, ml",3,3,2024-12-02
Web Developer,Pune,HealthTech,"css, react, html",8,13,2024-02-13
Cyber Security Analyst,Chennai,E-Commerce,"networking, linux, security",1,19,2024-07-30
Business Analyst,Pune,IT,"communication, excel, sql",7,8,2024-06-15
Business Analyst,Chennai,IT,"excel, sql, communication",4,15,2024-12-18
Data Analyst,Chennai,E-Commerce,"sql, excel, power bi",2,7,2024-08-01
Cloud Engineer,Bangalore,EdTech,"linux, azure, aws",3,21,2023-02-13
Cyber Security Analyst,Hyderabad,IT,"linux, networking, security",4,8,2023-11-16
Data Analyst,Mumbai,E-Commerce,"python, excel, sql",2,12,2024-06-24
DevOps Engineer,Mumbai,EdTech,"aws, kubernetes, linux",0,12,2024-01-23
DevOps Engineer,Pune,FinTech,"aws, linux, kubernetes",4,7,2023-05-22
Cyber Security Analyst,Delhi,HealthTech,"security, linux, networking",8,12,2023-05-17
ML Engineer,Pune,IT,"ml, python, deep learning",8,12,2024-07-20
Business Analyst,Bangalore,E-Commerce,"communication, sql, excel",0,21,2024-12-14
Web Developer,Pune,HealthTech,"javascript, html, react",5,3,2024-07-27
Cloud Engineer,Bangalore,HealthTech,"linux, aws, docker",0,19,2024-05-07
Cloud Engineer,Hyderabad,IT,"azure, docker, linux",7,8,2023-08-04
Cyber Security Analyst,Chennai,EdTech,"security, networking, linux",6,6,2024-11-15
ML Engineer,Chennai,IT,"python, ml, deep learning",3,25,2023-11-02
Software Engineer,Bangalore,IT,"sql, oops, java",0,15,2024-05-13
Data Analyst,Mumbai,E-Commerce,"sql, excel, python",4,3,2024-11-12
DevOps Engineer,Bangalore,E-Commerce,"kubernetes, aws, docker",4,19,2023-04-28
Data Scientist,Pune,IT,"statistics, sql, ml",0,5,2024-12-08
ML Engineer,Hyderabad,E-Commerce,"tensorflow, python, ml",6,25,2024-08-24
Data Scientist,Bangalore,IT,"ml, statistics, sql",8,14,2024-05-03
Web Developer,Pune,FinTech,"html, css, javascript",8,4,2023-11-11
Data Analyst,Hyderabad,HealthTech,"python, sql, power bi",1,25,2024-08-28
ML Engineer,Hyderabad,HealthTech,"tensorflow, python, ml",4,4,2024-11-02
Software Engineer,Delhi,EdTech,"python, sql, java",8,3,2024-11-18
Web Developer,Hyderabad,IT,"react, javascript, css",6,3,2023-10-17
ML Engineer,Chennai,IT,"deep learning, python, tensorflow",1,24,2024-12-02
Cyber Security Analyst,Hyderabad,IT,"networking, linux, security",8,16,2023-05-04
Cyber Security Analyst,Hyderabad,FinTech,"linux, security, networking",5,18,2024-01-27
Business Analyst,Pune,IT,"communication, sql, excel",5,13,2023-08-20
Cloud Engineer,Bangalore,E-Commerce,"azure, linux, docker",8,12,2023-01-25
Cloud Engineer,Delhi,EdTech,"aws, linux, docker",8,21,2024-05-02
ML Engineer,Delhi,FinTech,"ml, deep learning, tensorflow",8,17,2024-04-08
AI Engineer,Chennai,EdTech,"python, ai, nlp",0,18,2023-11-27
Business Analyst,Bangalore,HealthTech,"excel, communication, sql",7,7,2023-02-02
Web Developer,Mumbai,E-Commerce,"html, javascript, css",7,10,2024-06-06
Business Analyst,Mumbai,EdTech,"communication, excel, sql",3,17,2023-04-16
Data Analyst,Pune,HealthTech,"sql, power bi, excel",5,5,2023-03-25
Software Engineer,Hyderabad,FinTech,"python, java, oops",8,22,2024-06-15
ML Engineer,Bangalore,HealthTech,"ml, tensorflow, deep learning",2,19,2023-06-10
Data Scientist,Pune,EdTech,"ml, python, statistics",0,7,2024-03-04
Software Engineer,Delhi,IT,"java, python, oops",2,12,2024-07-22
Data Analyst,Bangalore,FinTech,"power bi, sql, python",7,13,2023-10-21
ML Engineer,Pune,HealthTech,"python, deep learning, tensorflow",1,13,2024-11-02
Data Analyst,Hyderabad,IT,"excel, python, sql",4,15,2023-07-02
DevOps Engineer,Chennai,E-Commerce,"kubernetes, docker, aws",8,23,2024-07-07
ML Engineer,Bangalore,E-Commerce,"python, ml, deep learning",8,3,2023-01-11
Software Engineer,Mumbai,EdTech,"python, oops, sql",2,11,2023-05-04
AI Engineer,Chennai,FinTech,"nlp, ai, python",7,7,2023-05-11
DevOps Engineer,Bangalore,HealthTech,"aws, docker, kubernetes",0,15,2023-05-28
Data Scientist,Mumbai,HealthTech,"statistics, sql, ml",4,8,2023-11-17
Business Analyst,Mumbai,EdTech,"communication, sql, excel",2,12,2024-08-29
AI Engineer,Mumbai,E-Commerce,"nlp, python, ml",7,18,2024-11-06
Cyber Security Analyst,Bangalore,E-Commerce,"linux, security, networking",0,18,2023-08-19
AI Engineer,Delhi,FinTech,"nlp, ai, python",2,24,2023-08-08
Software Engineer,Hyderabad,E-Commerce,"oops, python, java",0,14,2024-11-07
Data Analyst,Hyderabad,IT,"python, sql, power bi",8,8,2024-10-15
Cloud Engineer,Pune,FinTech,"azure, docker, aws",1,4,2024-09-14
Cloud Engineer,Chennai,EdTech,"linux, aws, docker",4,24,2024-01-10
Data Scientist,Pune,EdTech,"statistics, sql, ml",1,4,2024-09-05
Cyber Security Analyst,Delhi,EdTech,"linux, networking, security",8,11,2023-08-08
Cloud Engineer,Hyderabad,HealthTech,"azure, aws, docker",4,16,2023-09-13
Web Developer,Pune,EdTech,"html, css, react",0,19,2024-03-09
Cyber Security Analyst,Pune,HealthTech,"networking, linux, security",5,4,2024-10-18
Business Analyst,Chennai,IT,"sql, excel, communication",3,12,2023-08-18
Data Analyst,Bangalore,E-Commerce,"sql, python, excel",6,10,2023-05-04
Data Analyst,Bangalore,IT,"python, power bi, sql",5,11,2023-02-02
Web Developer,Pune,FinTech,"javascript, react, css",7,10,2023-05-01
Data Scientist,Hyderabad,EdTech,"ml, statistics, sql",7,10,2023-03-26
AI Engineer,Pune,HealthTech,"ai, nlp, ml",3,6,2023-09-16
DevOps Engineer,Chennai,FinTech,"kubernetes, aws, docker",2,22,2024-05-31
Cloud Engineer,Hyderabad,FinTech,"azure, docker, linux",2,15,2023-07-14
Data Analyst,Hyderabad,EdTech,"excel, python, sql",6,25,2024-05-12
Cyber Security Analyst,Mumbai,HealthTech,"networking, security, linux",5,13,2023-01-21
Web Developer,Hyderabad,HealthTech,"react, css, javascript",3,19,2024-07-27
Cyber Security Analyst,Bangalore,EdTech,"networking, linux, security",4,4,2023-03-19
Business Analyst,Hyderabad,IT,"excel, communication, sql",2,10,2024-11-08
Data Analyst,Pune,HealthTech,"power bi, excel, sql",4,8,2023-04-25
Cloud Engineer,Pune,E-Commerce,"aws, linux, azure",3,11,2023-08-27
Web Developer,Delhi,HealthTech,"react, css, html",0,7,2024-12-03
ML Engineer,Bangalore,IT,"tensorflow, ml, deep learning",6,7,2023-04-17
ML Engineer,Chennai,EdTech,"ml, python, tensorflow",1,14,2023-11-18
Software Engineer,Chennai,IT,"python, java, oops",1,22,2023-11-17
Cyber Security Analyst,Hyderabad,E-Commerce,"linux, networking, security",8,11,2023-11-28
AI Engineer,Chennai,IT,"ai, ml, nlp",3,20,2024-04-23
Business Analyst,Pune,HealthTech,"excel, sql, communication",3,13,2023-05-25
Data Analyst,Pune,E-Commerce,"power bi, excel, python",1,5,2024-01-26
Data Scientist,Bangalore,FinTech,"statistics, python, ml",0,8,2024-10-13
Business Analyst,Hyderabad,IT,"sql, excel, communication",4,24,2024-05-11
ML Engineer,Bangalore,FinTech,"ml, deep learning, tensorflow",3,9,2024-04-16
Data Scientist,Bangalore,E-Commerce,"python, sql, statistics",0,16,2023-05-09
Web Developer,Hyderabad,HealthTech,"css, react, html",2,20,2023-08-25
ML Engineer,Bangalore,EdTech,"python, ml, tensorflow",6,19,2023-09-23
Cyber Security Analyst,Delhi,EdTech,"networking, linux, security",1,14,2024-08-08
Business Analyst,Bangalore,E-Commerce,"communication, excel, sql",4,19,2023-03-11
Web Developer,Bangalore,IT,"html, react, javascript",3,8,2024-12-10
AI Engineer,Hyderabad,E-Commerce,"python, nlp, ml",4,13,2024-07-07
Web Developer,Chennai,HealthTech,"javascript, html, css",7,23,2024-10-10
DevOps Engineer,Mumbai,FinTech,"docker, kubernetes, aws",0,6,2023-08-14
Web Developer,Mumbai,E-Commerce,"javascript, html, react",0,16,2023-09-24
Data Scientist,Delhi,EdTech,"python, sql, ml",6,8,2023-06-19
ML Engineer,Bangalore,FinTech,"python, tensorflow, deep learning",1,5,2024-07-04
AI Engineer,Chennai,HealthTech,"ml, nlp, ai",8,25,2024-04-03
DevOps Engineer,Hyderabad,EdTech,"aws, linux, kubernetes",6,18,2024-09-28
ML Engineer,Pune,EdTech,"ml, deep learning, tensorflow",3,22,2023-07-23
Web Developer,Bangalore,IT,"html, css, react",0,3,2023-10-02
Data Scientist,Pune,IT,"python, statistics, ml",3,19,2024-05-22
Software Engineer,Bangalore,EdTech,"sql, oops, java",0,18,2024-07-22
ML Engineer,Chennai,E-Commerce,"deep learning, ml, tensorflow",6,11,2024-05-14
Data Scientist,Bangalore,IT,"python, sql, ml",6,16,2024-04-19
AI Engineer,Pune,E-Commerce,"ml, python, nlp",5,19,2024-02-12
DevOps Engineer,Bangalore,IT,"docker, aws, linux",3,23,2023-03-03
ML Engineer,Chennai,HealthTech,"ml, tensorflow, python",1,13,2023-08-17
