job_title,location,industry,skills,experience,salary_lpa,posted_date,demand_score,demand_label
Business Analyst,Pune,IT,"communication, sql, excel",6,25,2023-12-02,114,Low
Cyber Security Analyst (Remote),Chennai,EdTech,"security, linux, networking",6,11,2024-06-16,127,High
Cyber Security Analyst,Hyderabad,FinTech,"linux, networking, security",7,24,2023-02-12,127,High
Web Developer (Remote),Delhi,FinTech,"css, javascript, react",0,23,2024-06-26,112,Low
Business Analyst,Delhi,FinTech,"sql, excel, communication",0,15,2023-10-12,114,Low
Data Analyst,Delhi,FinTech,"power bi, python, sql",1,14,2024-09-21,114,Low
ML Engineer (Remote),Delhi,HealthTech,"python, tensorflow, ml",5,12,2023-01-06,138,High
Cloud Engineer,Mumbai,FinTech,"azure, linux, docker",4,24,2023-10-21,121,Medium
Data Scientist,Hyderabad,IT,"ml, statistics, python",2,20,2023-04-24,114,Low
Data Scientist,Mumbai,EdTech,"sql, python, statistics",6,13,2024-05-05,114,Low
Data Scientist,Pune,FinTech,"ml, sql, python",6,21,2023-04-12,114,Low
AI Engineer,Hyderabad,EdTech,"ai, nlp, python",0,18,2024-12-28,120,Medium
Cyber Security Analyst,Hyderabad,HealthTech,"security, linux, networking",8,6,2023-10-21,127,High
Cyber Security Analyst (Remote),Delhi,HealthTech,"security, linux, networking",7,5,2024-07-17,127,High
Data Analyst (Remote),Mumbai,FinTech,"sql, python, excel",2,19,2023-09-19,114,Low
DevOps Engineer (Remote),Hyderabad,HealthTech,"kubernetes, aws, docker",6,15,2024-07-14,125,High
AI Engineer (Remote),Hyderabad,HealthTech,"python, nlp, ai",2,24,2024-12-16,120,Medium
Data Scientist,Pune,EdTech,"python, sql, statistics",2,19,2023-12-30,114,Low
Business Analyst (Remote),Bangalore,FinTech,"excel, sql, communication",8,17,2023-08-13,114,Low
Business Analyst,Chennai,E-Commerce,"sql, communication, excel",1,19,2024-08-18,114,Low
Cloud Engineer,Hyderabad,E-Commerce,"linux, docker, aws",0,13,2023-09-10,121,Medium
Software Engineer (Remote),Hyderabad,E-Commerce,"oops, sql, python",0,9,2023-09-28,115,Medium
Business Analyst,Pune,IT,"excel, communication, sql",8,4,2023-01-26,114,Low
Data Analyst (Remote),Chennai,EdTech,"excel, python, power bi",1,22,2023-05-14,114,Low
Business Analyst,Delhi,HealthTech,"communication, excel, sql",6,16,2023-10-09,114,Low
Software Engineer (Remote),Delhi,E-Commerce,"oops, python, java",8,8,2023-03-21,115,Medium
Cyber Security Analyst,Bangalore,EdTech,"networking, security, linux",5,5,2024-03-04,127,High
Business Analyst,Mumbai,EdTech,"excel, sql, communication",1,17,2024-12-06,114,Low
Data Scientist (Remote),Delhi,E-Commerce,"sql, python, statistics",3,21,2023-09-27,114,Low
DevOps Engineer (Remote),Mumbai,FinTech,"docker, linux, kubernetes",7,12,2023-08-25,125,High
Data Scientist,Bangalore,FinTech,"ml, statistics, sql",1,23,2023-10-29,114,Low
Data Analyst,Hyderabad,FinTech,"excel, python, power bi",3,10,2023-11-08,114,Low
AI Engineer,Bangalore,HealthTech,"python, ml, ai",1,8,2024-08-27,120,Medium
Data Scientist,Chennai,EdTech,"ml, python, statistics",5,14,2023-11-30,114,Low
Software Engineer (Remote),Pune,E-Commerce,"oops, sql, python",7,19,2023-10-17,115,Medium
Software Engineer,Pune,E-Commerce,"java, python, sql",8,3,2023-11-11,115,Medium
Data Analyst (Remote),Mumbai,HealthTech,"power bi, excel, sql",4,12,2023-10-25,114,Low
AI Engineer,Bangalore,EdTech,"ml, python, nlp",2,7,2024-01-29,120,Medium
Cloud Engineer,Mumbai,HealthTech,"azure, aws, docker",1,23,2023-01-26,121,Medium
AI Engineer (Remote),Delhi,E-Commerce,"ml, python, ai",0,17,2023-07-01,120,Medium
Data Scientist (Remote),Hyderabad,EdTech,"python, sql, statistics",4,23,2024-04-19,114,Low
AI Engineer (Remote),Mumbai,EdTech,"python, ai, ml",8,4,2023-12-10,120,Medium
Web Developer (Remote),Bangalore,HealthTech,"html, react, css",0,20,2023-04-01,112,Low
ML Engineer,Chennai,FinTech,"deep learning, ml, python",1,12,2024-06-15,138,High
Data Analyst,Hyderabad,E-Commerce,"sql, power bi, excel",7,7,2023-10-02,114,Low
ML Engineer,Delhi,IT,"ml, tensorflow, python",1,24,2024-06-29,138,High
Cloud Engineer,Pune,EdTech,"linux, azure, aws",5,3,2024-01-26,121,Medium
Web Developer (Remote),Hyderabad,FinTech,"html, react, javascript",3,15,2023-11-19,112,Low
DevOps Engineer,Mumbai,HealthTech,"docker, linux, kubernetes",3,8,2023-09-01,125,High
DevOps Engineer,Mumbai,E-Commerce,"linux, kubernetes, aws",0,4,2024-06-14,125,High
AI Engineer,Chennai,E-Commerce,"ml, python, ai",3,14,2024-06-30,120,Medium
Web Developer,Mumbai,EdTech,"html, react, css",0,11,2024-09-15,112,Low
Cyber Security Analyst,Chennai,IT,"networking, linux, security",2,18,2023-01-08,127,High
AI Engineer,Pune,EdTech,"ai, python, ml",7,11,2023-06-16,120,Medium
ML Engineer,Delhi,HealthTech,"tensorflow, deep learning, ml",1,3,2023-12-21,138,High
Software Engineer (Remote),Chennai,FinTech,"python, java, oops",4,8,2024-02-11,115,Medium
Data Scientist (Remote),Pune,IT,"sql, ml, python",7,19,2023-03-25,114,Low
Cyber Security Analyst (Remote),Bangalore,EdTech,"networking, linux, security",3,17,2024-07-16,127,High
ML Engineer,Delhi,IT,"ml, tensorflow, deep learning",2,15,2024-08-07,138,High
Business Analyst (Remote),Chennai,FinTech,"excel, sql, communication",1,17,2023-01-23,114,Low
ML Engineer,Hyderabad,HealthTech,"tensorflow, deep learning, ml",1,14,2023-01-31,138,High
DevOps Engineer,Bangalore,FinTech,"linux, aws, kubernetes",5,23,2024-05-18,125,High
Data Analyst (Remote),Mumbai,EdTech,"excel, sql, python",5,21,2024-11-26,114,Low
Data Analyst,Bangalore,IT,"python, power bi, sql",3,17,2024-01-30,114,Low
Web Developer,Bangalore,EdTech,"react, html, javascript",5,16,2023-12-08,112,Low
Cloud Engineer (Remote),Hyderabad,E-Commerce,"azure, linux, docker",6,23,2024-02-14,121,Medium
Data Analyst (Remote),Chennai,EdTech,"python, power bi, excel",0,18,2024-12-03,114,Low
Software Engineer (Remote),Delhi,FinTech,"java, oops, sql",8,16,2023-02-23,115,Medium
DevOps Engineer (Remote),Pune,FinTech,"aws, kubernetes, linux",7,20,2024-07-08,125,High
ML Engineer,Chennai,E-Commerce,"deep learning, python, ml",2,5,2024-10-03,138,High
Cloud Engineer,Bangalore,E-Commerce,"linux, aws, docker",3,23,2024-05-28,121,Medium
Business Analyst,Hyderabad,EdTech,"excel, communication, sql",1,7,2024-07-17,114,Low
ML Engineer,Delhi,E-Commerce,"deep learning, tensorflow, python",8,7,2024-05-22,138,High
Data Scientist,Delhi,EdTech,"statistics, sql, ml",5,13,2023-02-23,114,Low
ML Engineer (Remote),Hyderabad,HealthTech,"ml, deep learning, python",1,7,2023-05-08,138,High
ML Engineer,Delhi,FinTech,"deep learning, python, tensorflow",4,18,2023-03-07,138,High
Cyber Security Analyst,Mumbai,EdTech,"linux, security, networking",7,18,2023-12-28,127,High
ML Engineer,Bangalore,HealthTech,"tensorflow, ml, deep learning",8,5,2023-01-28,138,High
DevOps Engineer,Pune,HealthTech,"docker, aws, linux",5,5,2024-07-22,125,High
DevOps Engineer (Remote),Chennai,FinTech,"aws, linux, docker",5,8,2023-02-07,125,High
Data Scientist (Remote),Pune,IT,"sql, python, statistics",0,9,2023-12-09,114,Low
Software Engineer (Remote),Delhi,E-Commerce,"java, python, sql",5,7,2024-05-29,115,Medium
Software Engineer,Delhi,IT,"java, oops, sql",8,20,2023-07-21,115,Medium
DevOps Engineer,Hyderabad,FinTech,"linux, aws, docker",4,14,2024-08-23,125,High
Cloud Engineer,Hyderabad,E-Commerce,"docker, aws, linux",2,14,2024-05-27,121,Medium
AI Engineer (Remote),Mumbai,EdTech,"ai, python, nlp",5,23,2023-01-29,120,Medium
Data Scientist,Delhi,IT,"ml, sql, python",6,8,2023-06-07,114,Low
DevOps Engineer,Mumbai,IT,"kubernetes, aws, docker",2,6,2023-04-01,125,High
Data Analyst (Remote),Chennai,EdTech,"excel, sql, power bi",5,17,2023-02-13,114,Low
Data Analyst (Remote),Delhi,HealthTech,"excel, sql, python",4,22,2023-06-26,114,Low
Cyber Security Analyst (Remote),Mumbai,E-Commerce,"security, networking, linux",6,19,2024-01-12,127,High
ML Engineer,Bangalore,FinTech,"deep learning, ml, python",0,19,2023-11-23,138,High
Software Engineer (Remote),Pune,HealthTech,"java, oops, python",2,19,2024-04-09,115,Medium
DevOps Engineer,Pune,E-Commerce,"docker, kubernetes, aws",6,4,2023-06-03,125,High
DevOps Engineer,Chennai,EdTech,"aws, linux, kubernetes",4,25,2023-07-12,125,High
Cyber Security Analyst,Mumbai,EdTech,"linux, networking, security",8,4,2023-08-08,127,High
Data Analyst,Chennai,IT,"excel, power bi, python",0,8,2023-08-20,114,Low
Data Analyst,Pune,HealthTech,"sql, excel, power bi",5,4,2024-08-31,114,Low
AI Engineer (Remote),Bangalore,HealthTech,"nlp, ml, ai",5,24,2024-04-08,120,Medium
Data Analyst,Delhi,EdTech,"excel, sql, power bi",7,13,2023-02-27,114,Low
DevOps Engineer (Remote),Delhi,E-Commerce,"linux, docker, aws",7,15,2023-04-10,125,High
ML Engineer (Remote),Bangalore,E-Commerce,"ml, python, deep learning",3,9,2024-07-21,138,High
Data Analyst (Remote),Bangalore,HealthTech,"sql, python, excel",8,18,2023-06-28,114,Low
Data Analyst,Pune,EdTech,"power bi, python, sql",1,7,2024-08-12,114,Low
Cyber Security Analyst,Bangalore,FinTech,"security, linux, networking",1,9,2024-10-06,127,High
Software Engineer (Remote),Delhi,HealthTech,"sql, oops, python",4,25,2023-09-29,115,Medium
Cyber Security Analyst (Remote),Pune,HealthTech,"networking, security, linux",8,24,2023-06-08,127,High
Cloud Engineer,Hyderabad,E-Commerce,"azure, linux, aws",0,4,2024-01-03,121,Medium
Software Engineer (Remote),Hyderabad,HealthTech,"python, oops, java",5,19,2024-02-13,115,Medium
Data Scientist (Remote),Bangalore,EdTech,"python, sql, ml",6,13,2023-10-03,114,Low
Data Analyst,Chennai,IT,"sql, python, power bi",8,5,2023-06-03,114,Low
Software Engineer,Hyderabad,HealthTech,"oops, java, sql",7,10,2024-07-04,115,Medium
ML Engineer (Remote),Delhi,IT,"ml, tensorflow, python",1,17,2023-07-03,138,High
Cloud Engineer,Pune,HealthTech,"docker, linux, aws",3,7,2023-02-12,121,Medium
AI Engineer,Hyderabad,EdTech,"ai, nlp, ml",0,21,2023-09-01,120,Medium
Cloud Engineer (Remote),Pune,HealthTech,"aws, azure, linux",3,5,2023-06-22,121,Medium
Cyber Security Analyst,Delhi,IT,"security, networking, linux",5,17,2023-07-17,127,High
Data Scientist,Chennai,IT,"python, sql, statistics",0,11,2024-10-03,114,Low
Cloud Engineer,Delhi,FinTech,"linux, docker, azure",8,21,2023-08-14,121,Medium
Software Engineer,Bangalore,IT,"java, sql, oops",4,16,2024-09-01,115,Medium
Business Analyst,Delhi,EdTech,"excel, communication, sql",5,24,2024-04-16,114,Low
ML Engineer (Remote),Chennai,IT,"tensorflow, deep learning, ml",0,4,2023-03-24,138,High
Web Developer,Chennai,E-Commerce,"css, javascript, react",0,17,2024-10-25,112,Low
ML Engineer (Remote),Chennai,HealthTech,"deep learning, tensorflow, python",8,25,2023-07-25,138,High
Software Engineer (Remote),Chennai,HealthTech,"python, oops, java",3,13,2023-09-12,115,Medium
DevOps Engineer (Remote),Pune,IT,"docker, kubernetes, aws",5,19,2024-01-01,125,High
Data Analyst,Hyderabad,E-Commerce,"excel, power bi, sql",4,24,2023-11-24,114,Low
Cyber Security Analyst,Delhi,IT,"linux, networking, security",2,16,2024-04-06,127,High
Data Scientist (Remote),Delhi,EdTech,"statistics, ml, python",2,5,2023-03-18,114,Low
Cloud Engineer,Chennai,E-Commerce,"docker, linux, aws",8,8,2024-05-18,121,Medium
ML Engineer (Remote),Hyderabad,HealthTech,"tensorflow, python, ml",1,23,2023-03-26,138,High
Data Analyst,Chennai,FinTech,"sql, python, excel",4,16,2023-07-16,114,Low
Web Developer (Remote),Bangalore,HealthTech,"javascript, css, react",5,10,2023-02-12,112,Low
Data Scientist,Pune,HealthTech,"statistics, sql, python",2,11,2023-12-18,114,Low
Cloud Engineer,Delhi,E-Commerce,"linux, docker, aws",2,18,2024-07-08,121,Medium
DevOps Engineer,Pune,EdTech,"kubernetes, docker, aws",0,13,2024-10-20,125,High
Web Developer (Remote),Hyderabad,FinTech,"react, css, html",0,21,2023-03-05,112,Low
Cloud Engineer (Remote),Hyderabad,EdTech,"docker, azure, linux",6,6,2023-11-26,121,Medium
Web Developer (Remote),Hyderabad,FinTech,"react, javascript, html",2,21,2023-10-10,112,Low
DevOps Engineer,Delhi,FinTech,"linux, aws, kubernetes",4,22,2023-10-23,125,High
ML Engineer,Bangalore,HealthTech,"deep learning, tensorflow, ml",0,23,2024-10-27,138,High
DevOps Engineer (Remote),Bangalore,EdTech,"kubernetes, docker, linux",8,6,2023-12-06,125,High
Data Analyst,Pune,HealthTech,"excel, sql, power bi",0,12,2023-11-22,114,Low
Business Analyst,Hyderabad,HealthTech,"excel, sql, communication",0,13,2024-12-01,114,Low
Software Engineer,Chennai,E-Commerce,"java, sql, python",6,10,2023-12-08,115,Medium
AI Engineer,Mumbai,E-Commerce,"ai, python, ml",6,14,2023-06-27,120,Medium
DevOps Engineer (Remote),Mumbai,HealthTech,"aws, docker, linux",2,25,2023-04-11,125,High
DevOps Engineer (Remote),Hyderabad,HealthTech,"docker, linux, aws",6,13,2023-07-09,125,High
Cloud Engineer,Chennai,FinTech,"docker, aws, linux",3,8,2023-02-28,121,Medium
DevOps Engineer,Chennai,HealthTech,"kubernetes, aws, docker",8,3,2024-09-07,125,High
Business Analyst,Chennai,E-Commerce,"communication, sql, excel",5,11,2023-04-28,114,Low
Web Developer (Remote),Mumbai,IT,"javascript, html, react",2,11,2023-07-03,112,Low
Web Developer (Remote),Pune,E-Commerce,"react, html, css",4,8,2024-09-21,112,Low
AI Engineer,Bangalore,FinTech,"ai, nlp, python",0,18,2023-04-21,120,Medium
AI Engineer,Bangalore,IT,"ai, ml, python",3,19,2024-08-16,120,Medium
Business Analyst,Chennai,IT,"excel, communication, sql",4,9,2024-07-27,114,Low
AI Engineer,Mumbai,IT,"ml, nlp, python",0,9,2024-04-25,120,Medium
Data Analyst,Mumbai,E-Commerce,"excel, sql, power bi",5,21,2024-05-29,114,Low
AI Engineer (Remote),Chennai,HealthTech,"ai, ml, python",8,25,2023-11-14,120,Medium
ML Engineer (Remote),Chennai,FinTech,"deep learning, tensorflow, python",1,20,2024-02-12,138,High
Cyber Security Analyst,Pune,FinTech,"security, linux, networking",3,21,2023-06-16,127,High
Cloud Engineer,Chennai,EdTech,"aws, linux, azure",1,21,2024-06-27,121,Medium
Data Analyst (Remote),Chennai,E-Commerce,"excel, python, sql",6,15,2024-02-28,114,Low
Data Analyst (Remote),Bangalore,IT,"excel, python, power bi",8,8,2024-11-30,114,Low
Data Scientist,Chennai,FinTech,"sql, ml, statistics",0,17,2023-07-17,114,Low
Data Scientist (Remote),Pune,E-Commerce,"statistics, ml, python",4,21,2024-07-04,114,Low
DevOps Engineer (Remote),Mumbai,E-Commerce,"docker, aws, kubernetes",8,19,2023-04-01,125,High
AI Engineer,Chennai,E-Commerce,"python, ml, ai",2,21,2023-07-10,120,Medium
Cloud Engineer,Pune,EdTech,"azure, docker, aws",0,23,2023-05-29,121,Medium
DevOps Engineer,Pune,EdTech,"linux, aws, kubernetes",4,19,2024-05-22,125,High
AI Engineer (Remote),Delhi,HealthTech,"python, ml, nlp",1,9,2024-02-21,120,Medium
Cyber Security Analyst,Hyderabad,HealthTech,"networking, linux, security",8,20,2023-08-20,127,High
Data Analyst (Remote),Bangalore,EdTech,"power bi, excel, sql",5,9,2023-03-16,114,Low
Data Analyst (Remote),Delhi,E-Commerce,"excel, power bi, python",3,9,2023-03-13,114,Low
ML Engineer,Mumbai,E-Commerce,"ml, python, deep learning",8,17,2023-11-16,138,High
Data Analyst,Pune,E-Commerce,"power bi, python, sql",8,11,2024-10-15,114,Low
ML Engineer,Pune,EdTech,"ml, python, tensorflow",1,6,2023-08-07,138,High
AI Engineer,Bangalore,FinTech,"ai, python, nlp",7,7,2023-03-27,120,Medium
Data Scientist,Bangalore,FinTech,"statistics, sql, ml",6,11,2024-12-25,114,Low
Data Scientist (Remote),Hyderabad,E-Commerce,"ml, statistics, python",3,21,2024-02-17,114,Low
DevOps Engineer,Chennai,IT,"aws, kubernetes, linux",4,12,2024-12-04,125,High
Data Scientist (Remote),Mumbai,IT,"statistics, python, ml",8,5,2024-12-03,114,Low
Data Scientist (Remote),Mumbai,FinTech,"statistics, sql, python",4,5,2023-03-26,114,Low
Software Engineer,Hyderabad,EdTech,"python, java, oops",8,8,2024-10-05,115,Medium
Web Developer,Bangalore,EdTech,"react, css, html",0,9,2023-08-12,112,Low
Web Developer,Delhi,HealthTech,"javascript, html, react",6,3,2024-01-04,112,Low
Web Developer,Bangalore,FinTech,"css, react, javascript",2,25,2024-10-03,112,Low
Data Analyst,Mumbai,EdTech,"python, excel, sql",0,23,2024-07-30,114,Low
Cyber Security Analyst,Pune,IT,"linux, security, networking",4,21,2023-03-11,127,High
DevOps Engineer,Pune,IT,"kubernetes, linux, aws",1,9,2024-11-29,125,High
ML Engineer,Bangalore,E-Commerce,"deep learning, tensorflow, ml",3,3,2024-12-02,138,High
Web Developer (Remote),Pune,HealthTech,"css, react, html",8,13,2024-02-13,112,Low
Cyber Security Analyst,Chennai,E-Commerce,"networking, linux, security",1,19,2024-07-30,127,High
Business Analyst (Remote),Pune,IT,"communication, excel, sql",7,8,2024-06-15,114,Low
Business Analyst (Remote),Chennai,IT,"excel, sql, communication",4,15,2024-12-18,114,Low
Data Analyst,Chennai,E-Commerce,"sql, excel, power bi",2,7,2024-08-01,114,Low
Cloud Engineer (Remote),Bangalore,EdTech,"linux, azure, aws",3,21,2023-02-13,121,Medium
Cyber Security Analyst,Hyderabad,IT,"linux, networking, security",4,8,2023-11-16,127,High
Data Analyst,Mumbai,E-Commerce,"python, excel, sql",2,12,2024-06-24,114,Low
DevOps Engineer,Mumbai,EdTech,"aws, kubernetes, linux",0,12,2024-01-23,125,High
DevOps Engineer,Pune,FinTech,"aws, linux, kubernetes",4,7,2023-05-22,125,High
Cyber Security Analyst (Remote),Delhi,HealthTech,"security, linux, networking",8,12,2023-05-17,127,High
ML Engineer,Pune,IT,"ml, python, deep learning",8,12,2024-07-20,138,High
Business Analyst,Bangalore,E-Commerce,"communication, sql, excel",0,21,2024-12-14,114,Low
Web Developer,Pune,HealthTech,"javascript, html, react",5,3,2024-07-27,112,Low
Cloud Engineer,Bangalore,HealthTech,"linux, aws, docker",0,19,2024-05-07,121,Medium
Cloud Engineer,Hyderabad,IT,"azure, docker, linux",7,8,2023-08-04,121,Medium
Cyber Security Analyst (Remote),Chennai,EdTech,"security, networking, linux",6,6,2024-11-15,127,High
ML Engineer,Chennai,IT,"python, ml, deep learning",3,25,2023-11-02,138,High
Software Engineer,Bangalore,IT,"sql, oops, java",0,15,2024-05-13,115,Medium
Data Analyst (Remote),Mumbai,E-Commerce,"sql, excel, python",4,3,2024-11-12,114,Low
DevOps Engineer (Remote),Bangalore,E-Commerce,"kubernetes, aws, docker",4,19,2023-04-28,125,High
Data Scientist,Pune,IT,"statistics, sql, ml",0,5,2024-12-08,114,Low
ML Engineer,Hyderabad,E-Commerce,"tensorflow, python, ml",6,25,2024-08-24,138,High
Data Scientist,Bangalore,IT,"ml, statistics, sql",8,14,2024-05-03,114,Low
Web Developer,Pune,FinTech,"html, css, javascript",8,4,2023-11-11,112,Low
Data Analyst (Remote),Hyderabad,HealthTech,"python, sql, power bi",1,25,2024-08-28,114,Low
ML Engineer,Hyderabad,HealthTech,"tensorflow, python, ml",4,4,2024-11-02,138,High
Software Engineer,Delhi,EdTech,"python, sql, java",8,3,2024-11-18,115,Medium
Web Developer (Remote),Hyderabad,IT,"react, javascript, css",6,3,2023-10-17,112,Low
ML Engineer,Chennai,IT,"deep learning, python, tensorflow",1,24,2024-12-02,138,High
Cyber Security Analyst,Hyderabad,IT,"networking, linux, security",8,16,2023-05-04,127,High
Cyber Security Analyst,Hyderabad,FinTech,"linux, security, networking",5,18,2024-01-27,127,High
Business Analyst,Pune,IT,"communication, sql, excel",5,13,2023-08-20,114,Low
Cloud Engineer,Bangalore,E-Commerce,"azure, linux, docker",8,12,2023-01-25,121,Medium
Cloud Engineer,Delhi,EdTech,"aws, linux, docker",8,21,2024-05-02,121,Medium
ML Engineer (Remote),Delhi,FinTech,"ml, deep learning, tensorflow",8,17,2024-04-08,138,High
AI Engineer,Chennai,EdTech,"python, ai, nlp",0,18,2023-11-27,120,Medium
Business Analyst,Bangalore,HealthTech,"excel, communication, sql",7,7,2023-02-02,114,Low
Web Developer,Mumbai,E-Commerce,"html, javascript, css",7,10,2024-06-06,112,Low
Business Analyst,Mumbai,EdTech,"communication, excel, sql",3,17,2023-04-16,114,Low
Data Analyst,Pune,HealthTech,"sql, power bi, excel",5,5,2023-03-25,114,Low
Software Engineer,Hyderabad,FinTech,"python, java, oops",8,22,2024-06-15,115,Medium
ML Engineer,Bangalore,HealthTech,"ml, tensorflow, deep learning",2,19,2023-06-10,138,High
Data Scientist,Pune,EdTech,"ml, python, statistics",0,7,2024-03-04,114,Low
Software Engineer,Delhi,IT,"java, python, oops",2,12,2024-07-22,115,Medium
Data Analyst,Bangalore,FinTech,"power bi, sql, python",7,13,2023-10-21,114,Low
ML Engineer,Pune,HealthTech,"python, deep learning, tensorflow",1,13,2024-11-02,138,High
Data Analyst (Remote),Hyderabad,IT,"excel, python, sql",4,15,2023-07-02,114,Low
DevOps Engineer,Chennai,E-Commerce,"kubernetes, docker, aws",8,23,2024-07-07,125,High
ML Engineer (Remote),Bangalore,E-Commerce,"python, ml, deep learning",8,3,2023-01-11,138,High
Software Engineer,Mumbai,EdTech,"python, oops, sql",2,11,2023-05-04,115,Medium
AI Engineer (Remote),Chennai,FinTech,"nlp, ai, python",7,7,2023-05-11,120,Medium
DevOps Engineer,Bangalore,HealthTech,"aws, docker, kubernetes",0,15,2023-05-28,125,High
Data Scientist,Mumbai,HealthTech,"statistics, sql, ml",4,8,2023-11-17,114,Low
Business Analyst (Remote),Mumbai,EdTech,"communication, sql, excel",2,12,2024-08-29,114,Low
AI Engineer,Mumbai,E-Commerce,"nlp, python, ml",7,18,2024-11-06,120,Medium
Cyber Security Analyst (Remote),Bangalore,E-Commerce,"linux, security, networking",0,18,2023-08-19,127,High
AI Engineer (Remote),Delhi,FinTech,"nlp, ai, python",2,24,2023-08-08,120,Medium
Software Engineer,Hyderabad,E-Commerce,"oops, python, java",0,14,2024-11-07,115,Medium
Data Analyst,Hyderabad,IT,"python, sql, power bi",8,8,2024-10-15,114,Low
Cloud Engineer (Remote),Pune,FinTech,"azure, docker, aws",1,4,2024-09-14,121,Medium
Cloud Engineer,Chennai,EdTech,"linux, aws, docker",4,24,2024-01-10,121,Medium
Data Scientist,Pune,EdTech,"statistics, sql, ml",1,4,2024-09-05,114,Low
Cyber Security Analyst (Remote),Delhi,EdTech,"linux, networking, security",8,11,2023-08-08,127,High
Cloud Engineer,Hyderabad,HealthTech,"azure, aws, docker",4,16,2023-09-13,121,Medium
Web Developer (Remote),Pune,EdTech,"html, css, react",0,19,2024-03-09,112,Low
Cyber Security Analyst (Remote),Pune,HealthTech,"networking, linux, security",5,4,2024-10-18,127,High
